task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
98	06/866273	196485916	VCF2MAF_GERMLINE_WORKING (49)	COMPLETED	0	2025-07-18 14:35:19.732	28.8s	6.2s	77.7%	199.2 MB	248.6 MB	157.9 MB	1.7 MB
100	6c/25f192	196485917	VCF2MAF_GERMLINE_WORKING (50)	COMPLETED	0	2025-07-18 14:35:19.807	28.7s	8.6s	65.5%	217 MB	264.2 MB	180.5 MB	2 MB
99	73/cd7c7d	196485918	VCF2MAF_SOMATIC_WORKING (50)	COMPLETED	0	2025-07-18 14:35:19.886	58.6s	37.2s	84.0%	645.1 MB	693.3 MB	996.3 MB	7 MB
104	7c/b1c361	196485927	VCF2MAF_GERMLINE_WORKING (52)	COMPLETED	0	2025-07-18 14:35:48.699	29.8s	6.5s	56.3%	142.5 MB	191.3 MB	108 MB	1.5 MB
103	56/2f4101	196485929	VCF2MAF_GERMLINE_WORKING (51)	COMPLETED	0	2025-07-18 14:35:48.856	29.7s	5.9s	71.1%	161.8 MB	209.2 MB	126.1 MB	1.8 MB
105	f0/113e86	196485930	VCF2MAF_GERMLINE_WORKING (53)	COMPLETED	0	2025-07-18 14:35:48.930	29.6s	5.8s	69.8%	170.6 MB	218.1 MB	117.5 MB	1.7 MB
106	7a/80b111	196485931	VCF2MAF_SOMATIC_WORKING (53)	COMPLETED	0	2025-07-18 14:35:49.012	29.5s	15s	68.2%	301.5 MB	349.4 MB	347 MB	2.8 MB
107	87/8f5c54	196485932	VCF2MAF_GERMLINE_WORKING (54)	COMPLETED	0	2025-07-18 14:35:49.177	29.4s	6.8s	56.3%	130 MB	179.3 MB	114.2 MB	1.7 MB
109	f5/f9ede9	196485933	VCF2MAF_GERMLINE_WORKING (55)	COMPLETED	0	2025-07-18 14:35:49.253	29.3s	5.6s	68.7%	157.8 MB	207.9 MB	119.4 MB	1.6 MB
108	57/cb58a7	196485934	VCF2MAF_SOMATIC_WORKING (54)	COMPLETED	0	2025-07-18 14:35:49.326	29.3s	13.6s	75.8%	300.5 MB	349.3 MB	364.3 MB	2.8 MB
102	06/fdcbef	196485935	VCF2MAF_SOMATIC_WORKING (52)	COMPLETED	0	2025-07-18 14:35:49.399	29.2s	15.5s	79.9%	392.5 MB	440.7 MB	419.9 MB	3.1 MB
111	fa/307bf3	196485941	VCF2MAF_SOMATIC_WORKING (55)	COMPLETED	0	2025-07-18 14:36:18.703	29.8s	8s	68.3%	261.1 MB	310 MB	194.3 MB	1.9 MB
110	1f/e8c048	196485942	VCF2MAF_GERMLINE_WORKING (56)	COMPLETED	0	2025-07-18 14:36:18.779	29.7s	5.3s	71.0%	144.5 MB	192.7 MB	114.3 MB	1.6 MB
112	2e/763534	196485943	VCF2MAF_GERMLINE_WORKING (57)	COMPLETED	0	2025-07-18 14:36:18.853	29.6s	5.2s	65.7%	119.2 MB	165.4 MB	96.1 MB	1.5 MB
117	ba/029ddb	196485944	VCF2MAF_GERMLINE_WORKING (59)	COMPLETED	0	2025-07-18 14:36:18.927	29.6s	5.5s	61.4%	128.4 MB	177.2 MB	97 MB	1.6 MB
114	71/28c88c	196485945	VCF2MAF_SOMATIC_WORKING (56)	COMPLETED	0	2025-07-18 14:36:19.000	29.5s	21.1s	77.3%	479.1 MB	529.4 MB	555.1 MB	3.8 MB
