Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
DYNC2H1	1	0	0	0	2	1	0	1	0	5	5	5
DYSF	0	0	0	0	3	1	0	1	0	5	5	5
ERC1	0	0	0	0	3	1	0	1	0	5	5	5
FRMPD2	1	0	0	0	4	0	0	0	0	5	5	5
GPR158	0	0	0	0	3	2	0	0	0	5	5	5
HCN2	1	0	0	0	2	1	0	1	0	5	5	5
HECW1	0	0	0	0	5	0	0	0	0	5	5	5
HP	0	0	0	0	1	0	0	4	0	5	5	5
HYDIN	2	1	0	0	1	1	0	0	0	5	5	5
IGDCC4	0	0	0	0	5	0	0	0	0	5	5	5
IGFN1	0	1	0	0	4	0	0	0	0	5	5	5
IGHV3-30	0	0	0	0	5	0	0	0	0	5	5	5
KCNC3	1	0	0	0	3	1	0	0	0	5	5	5
KCNG2	0	0	0	0	4	0	0	1	0	5	5	5
KDM6B	0	0	1	0	4	0	0	0	0	5	5	5
KDR	0	0	0	0	4	0	0	1	0	5	5	5
KIF1B	0	0	0	0	5	0	0	0	0	5	5	5
LARP1B	0	0	0	0	4	0	0	1	0	5	5	5
LRP2	0	0	0	0	5	0	0	0	0	5	5	5
MCPH1	0	1	0	0	4	0	0	0	0	5	5	5
MEX3D	1	0	0	0	4	0	0	0	0	5	5	5
MGAM2	1	0	0	0	2	2	0	0	0	5	5	5
MPRIP	0	0	0	0	5	0	0	0	0	5	5	5
MROH2A	0	0	0	0	5	0	0	0	0	5	5	5
MYCBP2	0	0	0	0	4	1	0	0	0	5	5	5
NACA	0	0	1	0	4	0	0	0	0	5	5	5
NBEA	0	0	0	0	5	0	0	0	0	5	5	5
NPIPA5	3	0	0	0	0	0	0	2	0	5	5	5
NRDC	0	0	1	0	3	0	0	1	0	5	5	5
NRXN2	0	0	0	0	5	0	0	0	0	5	5	5
PCDH8	0	0	0	0	4	1	0	0	0	5	5	5
PDXDC1	0	0	0	0	5	0	0	0	0	5	5	5
PIEZO2	0	0	0	0	3	1	0	1	0	5	5	5
PIK3C2G	0	0	0	0	3	1	1	0	0	5	5	5
PIK3CD	0	0	0	0	5	0	0	0	0	5	5	5
PKD1	0	0	0	0	5	0	0	0	0	5	5	5
PLCH2	0	0	0	0	5	0	0	0	0	5	5	5
PRAMEF12	0	5	0	0	0	0	0	0	0	5	5	5
PRAMEF19	0	0	0	0	5	0	0	0	0	5	5	5
PRUNE2	0	0	0	0	5	0	0	0	0	5	5	5
PTPRQ	0	0	0	0	5	0	0	0	0	5	5	5
RAB11FIP5	0	0	0	0	5	0	0	0	0	5	5	5
RPGRIP1L	0	0	0	0	5	0	0	0	0	5	5	5
SACS	0	0	0	0	5	0	0	0	0	5	5	5
SERPINA10	0	0	0	0	2	2	0	1	0	5	5	5
SHROOM2	0	0	0	0	5	0	0	0	0	5	5	5
SMAP1	1	3	0	0	1	0	0	0	0	5	5	5
SMPD4	0	0	0	0	0	5	0	0	0	5	5	5
SPEG	0	0	0	0	5	0	0	0	0	5	5	5
ST18	0	0	0	0	4	1	0	0	0	5	5	5
TMBIM4	4	0	0	0	1	0	0	0	0	5	5	5
TOR1AIP1	0	0	0	0	0	0	0	5	0	5	5	5
USP9X	0	0	0	0	3	1	0	1	0	5	5	5
VPS13A	0	0	0	0	4	0	0	1	0	5	5	5
WASHC2A	0	0	0	0	0	0	0	5	0	5	5	5
WNK2	0	0	0	0	4	0	0	1	0	5	5	5
ZC3H13	1	0	0	0	4	0	0	0	0	5	5	5
ZEB2	1	0	0	0	3	1	0	0	0	5	5	5
ZFHX4	0	0	0	0	5	0	0	0	0	5	5	5
ZNF429	3	0	0	0	0	2	0	0	0	5	5	5
ZNF484	0	0	0	0	1	0	0	4	0	5	5	5
ZZEF1	0	0	0	0	3	1	0	1	0	5	5	5
PRAMEF2	0	0	0	0	1	5	0	0	0	6	4	4
ADPRHL1	0	1	0	0	4	0	0	0	0	5	4	4
ANK2	0	0	0	0	5	0	0	0	0	5	4	4
ANKRD62	0	0	0	0	5	0	0	0	0	5	4	4
CMYA5	1	0	0	0	3	1	0	0	0	5	4	4
CPLANE1	0	0	0	0	2	0	0	3	0	5	4	4
DDX60L	0	0	0	0	4	0	0	1	0	5	4	4
FREM2	0	0	0	0	5	0	0	0	0	5	4	4
LAMA4	0	0	0	0	5	0	0	0	0	5	4	4
LRRC9	0	0	0	0	1	3	0	1	0	5	4	4
PTPRK	0	0	0	0	2	0	0	3	0	5	4	4
RTL1	1	0	0	0	4	0	0	0	0	5	4	4
ZNF532	1	0	0	0	4	0	0	0	0	5	4	4
ACACB	0	0	0	0	3	1	0	0	0	4	4	4
ACOXL	0	0	0	0	0	3	1	0	0	4	4	4
ADAM29	2	0	0	0	1	0	1	0	0	4	4	4
AGL	1	0	0	0	3	0	0	0	0	4	4	4
AKAP8	0	0	0	0	4	0	0	0	0	4	4	4
AKAP9	0	0	0	0	4	0	0	0	0	4	4	4
ALMS1	1	1	0	0	2	0	0	0	0	4	4	4
ALPK2	0	0	0	0	3	1	0	0	0	4	4	4
AMY1C	0	0	0	0	0	4	0	0	0	4	4	4
ANKRD26	0	0	0	0	4	0	0	0	0	4	4	4
ANKRD36C	0	0	0	0	2	2	0	0	0	4	4	4
ARMH2	0	1	0	0	0	0	3	0	0	4	4	4
ARSH	0	0	0	0	3	1	0	0	0	4	4	4
ASPM	0	0	0	0	3	1	0	0	0	4	4	4
ATAD2	2	0	0	0	1	1	0	0	0	4	4	4
AUTS2	0	0	0	0	4	0	0	0	0	4	4	4
BEST3	4	0	0	0	0	0	0	0	0	4	4	4
BRCA1	1	1	0	0	1	1	0	0	0	4	4	4
BRCA2	1	0	0	0	2	0	0	1	0	4	4	4
C10orf71	0	0	0	0	4	0	0	0	0	4	4	4
C4orf50	4	0	0	0	0	0	0	0	0	4	4	4
CACNA1A	0	0	0	0	4	0	0	0	0	4	4	4
CACNA1E	1	0	0	0	2	1	0	0	0	4	4	4
CAPN9	0	0	0	0	0	1	0	3	0	4	4	4
CATSPERG	0	0	0	0	4	0	0	0	0	4	4	4
CCDC30	0	0	0	0	0	0	0	4	0	4	4	4
CCDC7	1	1	0	0	1	0	0	1	0	4	4	4
CCNB3	0	0	0	0	4	0	0	0	0	4	4	4
CELSR1	0	0	1	0	3	0	0	0	0	4	4	4
CELSR2	0	0	0	0	3	1	0	0	0	4	4	4
CEP104	0	0	0	0	0	0	0	4	0	4	4	4
CEP290	0	0	0	0	2	0	0	2	0	4	4	4
CFAP46	0	0	0	0	2	0	0	2	0	4	4	4
CFHR5	1	0	0	0	2	1	0	0	0	4	4	4
CHD2	0	2	0	0	2	0	0	0	0	4	4	4
CIC	0	0	0	0	4	0	0	0	0	4	4	4
CMIP	0	0	0	0	3	1	0	0	0	4	4	4
COL11A1	0	0	0	0	4	0	0	0	0	4	4	4
CRB1	0	0	0	0	4	0	0	0	0	4	4	4
CUBN	0	0	0	0	2	0	0	2	0	4	4	4
CXorf58	0	1	0	0	1	0	0	2	0	4	4	4
DCBLD1	1	0	0	0	3	0	0	0	0	4	4	4
DCHS2	0	0	0	0	4	0	0	0	0	4	4	4
DDX4	0	0	0	0	3	1	0	0	0	4	4	4
DNHD1	0	0	0	0	2	2	0	0	0	4	4	4
DNMT1	0	0	0	0	3	0	0	1	0	4	4	4
DOCK8	0	0	0	0	3	0	0	1	0	4	4	4
DOP1A	0	0	0	0	3	0	0	1	0	4	4	4
DSC2	0	0	0	0	4	0	0	0	0	4	4	4
DSG4	0	0	0	0	1	2	0	1	0	4	4	4
DYNC1H1	0	0	0	0	4	0	0	0	0	4	4	4
EGFR	0	0	0	0	3	0	0	1	0	4	4	4
ELAVL2	1	0	0	0	2	0	0	1	0	4	4	4
EPHA3	0	0	0	0	4	0	0	0	0	4	4	4
EPHB1	0	0	0	0	4	0	0	0	0	4	4	4
ERN2	1	0	0	0	3	0	0	0	0	4	4	4
F5	0	0	0	0	4	0	0	0	0	4	4	4
FAM186A	0	0	0	0	3	1	0	0	0	4	4	4
FAM193B	2	0	0	0	2	0	0	0	0	4	4	4
FAM240A	0	0	0	0	0	4	0	0	0	4	4	4
FAT1	0	0	1	0	3	0	0	0	0	4	4	4
FBXL3	3	0	0	0	1	0	0	0	0	4	4	4
FBXO38	0	0	0	0	4	0	0	0	0	4	4	4
FCN3	4	0	0	0	0	0	0	0	0	4	4	4
FLNB	0	0	0	0	4	0	0	0	0	4	4	4
FRG1	0	0	0	0	0	1	0	3	0	4	4	4
GARIN5B	0	0	0	0	4	0	0	0	0	4	4	4
GBP7	0	2	0	0	1	0	0	1	0	4	4	4
GIPR	0	0	0	0	2	0	0	2	0	4	4	4
HIVEP2	0	0	0	0	4	0	0	0	0	4	4	4
HMGXB4	1	2	0	0	1	0	0	0	0	4	4	4
HNRNPDL	1	0	1	0	2	0	0	0	0	4	4	4
HRNR	1	0	0	0	2	1	0	0	0	4	4	4
HUWE1	0	0	0	0	3	0	0	1	0	4	4	4
IGF2BP3	0	0	0	0	3	0	0	1	0	4	4	4
IGSF22	0	0	0	0	2	0	0	2	0	4	4	4
IL3RA	0	0	0	0	3	1	0	0	0	4	4	4
ILDR2	0	0	0	0	3	0	0	1	0	4	4	4
INPP5B	1	0	0	0	2	0	0	1	0	4	4	4
INTU	0	0	0	0	3	1	0	0	0	4	4	4
ITPR1	0	0	0	0	4	0	0	0	0	4	4	4
JAG2	0	0	0	0	2	1	0	0	1	4	4	4
KIAA1549L	0	0	0	0	4	0	0	0	0	4	4	4
KIF21B	1	0	0	0	3	0	0	0	0	4	4	4
KIF4B	0	0	1	0	2	1	0	0	0	4	4	4
KRT31	0	0	0	0	1	0	0	3	0	4	4	4
KRTAP4-7	0	0	0	0	0	4	0	0	0	4	4	4
LAMC3	0	0	0	0	3	0	0	1	0	4	4	4
LGALS4	0	0	0	0	4	0	0	0	0	4	4	4
LRP1	0	0	0	0	4	0	0	0	0	4	4	4
LRRC37A2	0	1	0	0	3	0	0	0	0	4	4	4
LYST	0	0	0	0	4	0	0	0	0	4	4	4
LZTR1	1	0	0	0	3	0	0	0	0	4	4	4
MAN2B2	0	0	0	0	4	0	0	0	0	4	4	4
MAP1B	0	0	0	0	4	0	0	0	0	4	4	4
MAPK8IP3	0	0	0	0	3	0	0	1	0	4	4	4
MBD4	4	0	0	0	0	0	0	0	0	4	4	4
MGAM	1	0	0	0	3	0	0	0	0	4	4	4
MIA2	0	0	0	0	4	0	0	0	0	4	4	4
MICAL2	0	0	0	0	1	0	0	3	0	4	4	4
MINK1	0	0	0	0	4	0	0	0	0	4	4	4
MROH1	0	0	0	0	3	0	0	1	0	4	4	4
MROH5	0	0	0	0	4	0	0	0	0	4	4	4
MS4A6A	0	0	0	0	4	0	0	0	0	4	4	4
MUC2	0	0	0	0	4	0	0	0	0	4	4	4
MUC22	0	0	0	0	3	1	0	0	0	4	4	4
MUC6	0	0	0	0	4	0	0	0	0	4	4	4
MYH13	0	0	0	0	3	0	0	1	0	4	4	4
MYH2	0	0	0	0	4	0	0	0	0	4	4	4
MYH4	0	1	0	0	2	0	0	1	0	4	4	4
MYH7	0	0	0	0	3	1	0	0	0	4	4	4
MYO15B	0	0	0	0	4	0	0	0	0	4	4	4
MYO1B	0	0	0	0	4	0	0	0	0	4	4	4
MYO3A	0	0	0	0	4	0	0	0	0	4	4	4
NALCN	0	0	0	0	3	1	0	0	0	4	4	4
NF1	2	1	0	0	1	0	0	0	0	4	4	4
NLRP1	1	0	0	0	3	0	0	0	0	4	4	4
NLRP12	0	0	0	0	4	0	0	0	0	4	4	4
NLRP13	2	0	0	0	2	0	0	0	0	4	4	4
NOBOX	0	0	0	0	4	0	0	0	0	4	4	4
NOTCH4	0	0	0	0	4	0	0	0	0	4	4	4
NRXN3	0	0	0	0	4	0	0	0	0	4	4	4
OR6P1	0	2	0	0	1	1	0	0	0	4	4	4
OVCH1	1	0	0	0	1	0	0	2	0	4	4	4
PAPPA2	0	0	0	0	4	0	0	0	0	4	4	4
PCLO	0	0	0	0	4	0	0	0	0	4	4	4
PCNX1	0	0	0	0	4	0	0	0	0	4	4	4
PCTP	3	0	0	0	1	0	0	0	0	4	4	4
PDE1B	0	0	0	0	4	0	0	0	0	4	4	4
PIAS4	1	0	0	0	3	0	0	0	0	4	4	4
PIK3C2B	0	0	0	0	2	1	0	1	0	4	4	4
PKHD1L1	0	0	0	0	3	0	0	1	0	4	4	4
PLXNA3	0	0	0	0	4	0	0	0	0	4	4	4
PLXNB3	0	0	0	0	4	0	0	0	0	4	4	4
PNPLA7	0	3	0	0	1	0	0	0	0	4	4	4
POLQ	0	1	0	0	2	1	0	0	0	4	4	4
PPARGC1A	0	0	0	0	4	0	0	0	0	4	4	4
PRAMEF20	0	0	0	0	0	0	0	4	0	4	4	4
